"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text; SH = section heading; OT = other text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,0,0,"NA","0",0,0,"•5^"
2,0,0,"B","0",0,0,
3,0,0,"NA","0",0,0,"t"
4,1,0,"NP","0",0,0,"MONDAY"
5,1,0,"NP","0",0,0,"Mustang Daily"
6,1,0,"NP","0",0,0,"California P*olytechnic State University San Luis Obispo"
7,1,0,"PI","0",0,0,"Volumes'!, No. 63 -"
8,1,0,"PI","0",0,0,"Monday, January 26,1987"
9,1,0,"PH","0",0,0,"Shape of things to come"
10,0,0,"NA","0",0,0,"A."
11,1,0,"B","0",0,0,
12,1,0,"PH","0",0,0,"SHIRLEY THOMPSON/Mustang Dally"
13,1,0,"PH","0",0,0,"A student passes by the new Agricultural Science building along Via Carta."
14,1,2,"HL","0",0,0,"Local goats steal the show in play audition"
15,1,2,"BL","0",0,0,"By Jane Gumerlock"
16,1,2,"BL","0",0,0,"Staff Writer"
17,1,2,"TXT","1",0,0,"People auditioning for a play is a common occurrence, but goats auditioning for a play is quite a different story. Such was the case at a goat audition Saturday for the Cal Poly production of “Teahouse of the August Moon.”"
18,1,2,"TXT","2",0,0,"Two goats, Millie and Tillie, along with their owner, Joan Hanley, showed up to audition for the play. The goats did not appear nervous as they cavorted about before showing off for the director of- the play, Roger Kenvin. However, it quickly became a matter of sibling rivalry when the two goats tried to outdo each other for the coveted spot."
19,1,2,"TXT","3",0,0,"In one of the scenes in the play, the goat is supposed to jump onto a jeep. To recreate that scene, the goats were to jump onto a table. Unfortunately, the goats had other ideas. While their owner tried to coax them with some eucalyptus branches, and Kenvin bribed them with readings from Shakespeare, the goats were not impressed. Only after Kenvin put the Shakespeare book away did Tillie show that she could jump on the table. Not to be outdone, Millie followed suit."
20,1,2,"TXT","4",0,0,"“Teahouse of the August Moon” is a play about the occupation by"
21,1,3,"HL","0",0,0,"Adapting skills needed in job"
22,1,3,"HL","0",0,0,"Speech degree is helpful"
23,1,3,"BL","0",0,0,"By Anna Cekola"
24,1,3,"BL","0",0,0,"Staff Writer"
25,1,3,"TXT","1",0,0,"The versatility a speech communication degree offers in adapting to any job situation was a main point stressed at a career information symposium Saturday."
26,1,3,"TXT","2",0,0,"Presented by the Cal Poly speech department and an internship project of Word of Mouth President Christine Fagerlin, the symposium featured former Cal Poly speech communication graduates who have entered various career fields."
27,1,3,"TXT","3",0,0,"“Most U.S. industry is becoming more service and marketing orientated,” said Bob Perry, a 1971 graduate and bank manager. “A"
28,1,3,"ME","0","back page",0,"See SYMPOSIUM, back page"
29,1,2,"TXT","5",0,0,"the Marines of Okinawa, Japan. One captain is sent to a village to Americanize it, but instead the village makes a Japanese out of him."
30,1,2,"TXT","6",0,0,"According to technical director Howard Gee, the goat has rather a small part, but it’s a part which will have the audience grinning. Lady Astor, the name of the goat in the play, has two small scenes. In the show a boy, played by freshman animal science major Scott Hansford, leads the goat around, so the goat will not be unsupervised. Hansford himself raised goats when he lived at home, so he sees no problem in acting with the goats in the play. “Once they get used to me in rehearsal it should be pretty easy,” he said."
31,1,2,"TXT","7",0,0,"Millie and Tillie are not even a year old, Hanley explained; they will celebrate their first birthday on Valentine’s Day. Last year during Poly Royal the goats were part of the petting zoo so they are used to being around people. Millie is all black, and Tillie is a striking black and white."
32,1,2,"TXT","8",0,0,"While watching the goats perform, Hanley explained that goats are personable animals, and hers especially love almonds. Coke, and beer. Goats live to be about 15 or 16 years old-, and Hanley said her goats are reared for milk production."
33,1,2,"ME","0",3,0,"See GOATS, pag£ 3"
34,1,1,"HL","0",0,0,"Speakers take stand on world politics"
35,1,1,"BL","0",0,0,"By Monica Fiscalini"
36,1,1,"BL","0",0,0,"Staff Writer"
37,1,1,"TXT","1",0,0,"The speakers at Friday’s Educational Peace Forum, a retired admiral and a Stanford professor, proved that one does not have to be a flower child to advocate peace."
38,1,1,"TXT","2",0,0,"Adm. Noel Gayler, former U.S. Navy commander-in-chief, discussed the use of nuclear weapons by the military. Dr. David Holloway of Stanford University discussed Soviet national security. ."
39,1,1,"TXT","3",0,0,"Gayler, who spent 45 years-in military service, has become a spokesman for the banning of nuclear weapons. A former nuclear target planner, Gayler was asked when he realized that nuclear weapons should be banned. He replied, “I think when I became aware that there was no rationale to the targeting — that we had a targeting policy which said essentially, ‘We’ve got so many nuclear weapons. Find a target for them.’ ”"
40,1,1,"TXT","4",0,0,"Gayler said the U.S. should enter into a general nuclear agreement with the Soviet Union,to be followed by other countries."
41,1,1,"TXT","5",0,0,"There are many illusions people have about nuclear war, Gayler said. He believes these delusions could be eradicated through education and enlightenment."
42,1,1,"TXT","6","back page",0,"Gayler listed several delusions, including a delusion about the number of weapons in the world. Balance is not the important thing, he said, because the first 100 nuclear weapons would end the world. Also, Gayler noted, it does not matter where weapons are based — it is where they land See PEACE, back page"
43,1,4,"OT","1",4,0,"The men’s basketball team suffered two heart-wrenching losses — one in the final seconds of the game — to Riverside and Pomona this weekend. See SPORTS MONDAY."
44,1,0,"SH","0",0,0,"IN QUOTES"
45,1,0,"OT","0",0,0,"Dancing is a contact sport — football is a hitting sport."
46,1,0,"OT","0",0,0,"— Vince Lombardi"
47,2,5,"HL","0",0,0,"Oh please Mr. Postman"
48,2,0,"SH","0",0,0,"editorial"
49,2,6,"HL","0",0,0,"Senate misses mark"
50,2,6,"TXT","1",0,0,"Like it or not, the Student Senate is our Voice to the Administration. In their recent newsletter, ASI Times, they bragged about all the resolutions passed this year already."
51,2,6,"TXT","2",0,0,"While the effectiveness of a senate can’t be measured by the number of resolutions passed, the kind of resolutions they discuss shows what they think is important."
52,2,6,"TXT","3",0,0,"The most notable resolutions discussed in the senate so far have been one opposing Proposition 61, one asking the San Luis Obispo Chamber of Commerce to let us retain our seat on their board, and two concerning “ASI Official Cards” which will let senators into all ASI events for free."
53,2,6,"TXT","4",0,0,"Only one resolution, which formed a student committee to make recommendations on the use of lottery funds, even comes close to the most important job student leaders have: advocating the student point of view to the Administration."
54,2,6,"TXT","5",0,0,"Though the senate is powerless to actually change university policy, it can make recommendations and lobby for Administration action. For example, last year the senate got business hours extended at student support services offices and looked into putting more bike lanes on campus."
55,2,6,"TXT","6",0,0,"Issues such as teacher shortages and curriculum changes, and ideas to make graduating in four years possible have yet to be discussed."
56,2,6,"TXT","7",0,0,"It would be nice to see this year’s senate put aside political squabbles and do the job they were elected to do: represent student needs and fight for them to be met."
57,2,5,"TXT","1",0,0,"There he was."
58,2,5,"TXT","2",0,0,"Ed McMahon was smiling at me from my mailbox. Nevermind how he got all 200-plus pounds of himself in that breadbox-sized container. But there he was, telling me I may already have won millions of dollars of VALUABLE PRIZES."
59,2,5,"TXT","3",0,0,"But that wasn’t all. Also in that batch of mail I received correspondence from a lesser-known but no less prestigious organization: “Yes, you, SUSAN JANE EDMONDSON of SAN LUIS OBISPO, CALIFORNIA have won one of these VALUABLE PRIZES:	a 1987 Cadillac El"
