"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE # TEXT IS ON (1 for front page, 0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP",0,0,0,"Mustang Daily"
2,1,0,"NP",0,0,0,"California Polytechnic State University San Luis Obispo"
3,1,0,"PI",0,0,0,"Volume 51, No: 132"
4,1,0,"PI",0,0,0,"Tuesday, May 19,1987"
5,1,1,"PH",0,0,0,"Twilight surrounds Sunset Drive-In before moviegoers arrive for the evening."
6,1,1,"BL",0,0,,"By Jon Bachman"
7,1,1,"BL",0,0,0,"staff Writer"
8,1,1,"TXT",1,0,0,"Although the drive-in has been an American ritual for more than 30 years, its future is uncertain."
9,1,1,"TXT",2,0,0,"There are only 2,000 drive-in theaters left in the United States today, a sharp reduction from the all-time high of nearly 5,000 in the 1950s."
10,1,1,"TXT",3,0,0,"Larry Rodkey, owner of the only operating drive-in in San Luis Obispo County, the Sunset Drive-In, said drive-in disappearance is caused by many factors."
11,1,1,"TXT",4,0,0,"“The land that drive-ins take up is the major reason you won’t see any more drive-ins going up,’’ Rodkey said. “The owners of the land find it much more profitable to put in shopping centers. Also, people prefer to go to walk-in theaters"
12,1,1,"TXT",4,0,0,"because they can get better sound quality and a better picture on their screen.”"
13,1,1,"TXT",5,0,0,"Herb Gunn, manager of Fremont Iheatre, said 75 percent of the drive-ins that existed in the past five years are gone."
14,1,1,"TXT",6,0,0,"“Because of expanding land values, it’s just not feasible for the owners of the land to use it for a drive-in any more,” Gunn said."
15,1,1,"TXT",7,0,0,"Another problem drive-ins face is getting first-run, top-quality Hollywood movies from the major distributors, which usually go to the big movie chains such as Mann theaters."
16,1,1,"TXT",8,0,0,"“The thing with film is that when a theater buys a picture, they have to put up a bid,” Rodkey said. “Around here the Festival Cinema usually wins because they can afford to put up the most money.”"
17,1,1,"PH",0,0,0,"DARYL SHOPTAUGH/Mustang Dally"
18,1,1,"TXT",9,0,0,"Rodkey said the reason theaters such as Mission Cinemas, Fremont Theatre, Festival Cinemas and Madonna Plaza charge the usual $5 for a movie, while other theaters such as Fair Oaks and the Bay Theatre can show movies for less, is because the big theaters have to pay a high price to get a first-run movie, while smaller theaters have to wait until it’s played everywhere else before they can show it."
19,1,1,"TXT",10,0,0,"“The first-run theaters have to charge the $5 just to pay for the movie they get,” Rodkey said. “The smaller theaters like the Fair Oaks and the Bay Theatre have to pay a percentage of what they make on the movie after it’s played everywhere else. The same applies here at Sunset. We have to pay back 35 percent of the gross we make."
20,1,1,"ME",0,6,0,"See DRlVE-lN,page6"
21,1,2,"HL",0,0,0,"Sponsors help bring entertainment to Poly"
22,1,2,"BL",0,0,0,"By John Grennan"
23,1,2,"BL",0,0,0,"staff Writer"
24,1,2,"TXT",1,0,0,"ASI has begun soliciting corporate sponsorships in order to bring quality programs to Cal Poly at less cost to the student."
25,1,2,"TXT",2,0,0,"ASI controller Andy Higgins said the corporate sponsorships are a good deal for everyone. “Big companies find it tough to reach the college crowd,” he said, “so corporations are willing to do it (underwrite programs) to get in touch with the students.”"
26,1,2,"TXT",3,0,0,"What the sponsorships mean to students is more for their dollar, according to Higgins. “Student fees needn’t be raised to support programs,” he said. “We (ASI) might put out $10-15,000 for a program, but this way we put out around $800.”"
27,1,2,"TXT",4,0,0,"The most recent corporate-sponsored event at Cal Poly was the Coors Comedy Commandos. With Coors paying for the act and help-"
28,1,2,"TXT",4,0,0,"ing with promotions, Higgins said it cost students only $2 for the show. If ASI did everything, it would have had to charge students between $9 and $12."
29,1,2,"TXT",5,0,0,"“We essentially made money on that event, rather than subsidizing it with student funds,” said Higgins."
30,1,2,"TXT",6,0,0,"Another corporate-sponsored event was the spring quarter ASI film series, which was underwritten by General Motors. “General Motors got a plug on the promotional material,” said Higgins, “and they got a day to display some of their cars in the University Union.”"
31,1,2,"TXT",7,0,0,"Higgins said the biggest problem with corporate sponsorships is that ASI must avoid competing with the university for funds."
32,1,2,"TXT",8,0,0,"“The administration is concerned if we’re soliciting businesses that aren’t our business"
33,1,3,"HL",0,0,0,"Tipsy Taxi looking for extra $700 in funding"
34,1,3,"BL",0,0,0,"By Monica Fiscalini"
35,1,3,"BL",0,0,0,"Staff Writer"
36,1,3,"TXT",1,0,0,"Tipsy Taxi is soliciting funds from clubs and community organizations after receiving $2,000 of the $2,500 requested under the 1987-1988 ASI budget."
37,1,3,"TXT",2,0,0,"Coordinator Franklin Burris said the program needed $2,700 from ASI but only asked for $2,500, so is now looking for an additional $700."
38,1,3,"TXT",3,0,0,"Poly Phase has already donated $100 to the Tipsy Taxi program. Dave Benham, a member of Poly Phase and also a senator from the School of Engineering, suggested that his club make the donation. Benham said Poly Phase thinks it is important to discourage drunk driving and to improve student/ community relations."
39,1,3,"TXT",4,0,0,"Benham said he hopes to make a statement to other clubs that Greek organizations shouldn’t have to carry the burden of community relations. Benham also sees the donation to Tipsy Taxi as a thanks to the patrons of the Poly Phase book exchange."
40,1,3,"TXT",5,0,0,"Burris said he wants to get funding from clubs as well as from fraternities and sororities. Walt Lambert, coordinator of Greek Affairs, said, “I try to en-See TAXI, back page"
41,1,2,"TXT",8,0,0,"to approach,” said Higgins, mentioning companies such as Hewlett-Packard that donate equipment and funds to universities. “There are some gray areas on who we can approach. We haven’t hammered out a formal policy yet.”"
42,1,2,"TXT",9,0,0,"Higgins added that ASI is picky about whc it gets for the sponsorships. “The company must have a good name,” he said. “The administration was concerned with Coors coming because of the alcohol issue, but it was very well done and they never once pushed drinking beer.”"
43,1,2,"TXT",10,0,0,"Higgins said that in the future corporate sponsorship will be a great way to bring top-notch speakers and entertainment to Cal Poly. “It can cost us up to $20,000 to put on some shows,” he said. “This way we minimize our risk, make some money and get good quality programs.”"
44,1,0,"OT",0,0,0,"Cal Poly’s president has to split his loyalties between campus and outside obligations, but his secretary helps him budget his time."
45,1,0,"OT",0,0,0,"IN QUOTES"
46,1,0,"OT",0,0,0,"Do not depend on one thing or trust to only one resource, however preeminent."
47,1,0,"OT",0,0,0,"— BaitasarGracian"
48,2,0,"NP",0,0,0,"Mustan"
49,0,0,"B",0,0,0,
50,0,0,"B",0,0,0,
51,0,0,"B",0,0,0,
52,2,0,"PI",0,0,0,"Tuesday, May 19,1987"
53,2,0,"SH",0,0,0,"iiiliíBli"
54,2,0,"SH",0,0,0,"ON THE STREET"
55,2,0,"OT",0,0,0,"Is it too late to send Klaus Barbie to trial?"
56,2,0,"OT",0,0,0,"Rick Rogers, biological sciences junior:"
57,2,0,"OT",0,0,0,"No, as long as they’re sure he did it. Just because he’s hidden this long doesn’t mean he doesn’t have to pay for what he did to the Jews."
58,2,0,"OT",0,0,0,"Becky Smith, business freshman:"
59,2,0,"OT",0,0,0,"If they have enough proof, then it’s not too late, even if he’s really old. If he did it all, then he deserves to die."
60,2,0,"NA",0,0,0,"' ^"
61,0,0,"B",0,0,0,
62,2,0,"NA",0,0,0,"<¦"
63,2,0,"OT",0,0,0,"Fred Starkweather, architecture senior:"
64,2,0,"OT",0,0,0,"No. That was something that happened in wartime and the results will last for a long time. We should maintain an awareness of the Holocaust by taking action against people who caused it."
65,2,0,"OT",0,0,0,"Mike Risso, ornamental horticulture senior:"
