"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP","0",0,0,"Mustang Daily"
2,1,0,"NP","0",0,0,"California Polytechnic State University San Luis Obispo"
3,1,0,"PI","0",0,0,"Volume 54, No.57"
4,1,0,"PI","0",0,0,"Monday, Jan. 29,1990"
5,1,1,"HL","0",0,0,"Education students not prepared to use computer tech, says prof"
6,1,1,"BL","0",0,0,"By Jason Foster"
7,1,1,"BL","0",0,0,"Staff Writar"
8,1,1,"TXT","1",0,0,"Cal Poly may have a reputation for producing quality engineers and agricultural specialists, but it may also be turning out teachers that cannot properly integrate computer technology into the classroom, said an education department professor."
9,1,1,"TXT","2",0,0,"Professor Dennis Nulman said Wednesday that Cal Poly hasn’t shown enough commitment to adequately train teacher-education students to iise technology in elementary and high-school instruction."
10,1,1,"TXT","3",0,0,"“It (Cal Poly) is failing to efH-ciently use its resources because we don’t have an organized plan"
11,1,1,"TXT","3",0,0,"to use them beyond the state’s minimum goals,’’ he said. “As a result, we’re getting students coming out with different levels of ability in technical applications in education.’’"
12,1,1,"TXT","4",0,0,"As of July 1, 1988, the state requires that all students seeking a professional clear credential take two computer courses. A profnsional clear credential is a state-required fifth-year credential for teacher education students."
13,1,1,"TXT","5",0,0,"The first of these courses can be any that fulfill the general education requirement for basic computer literacy. The second. Education 380X or one of several equivalents listed in the class schedule, is designed to show"
14,1,2,"HL","0",0,0,"Group discusses"
15,1,2,"HL","0",0,0,"format of spring commencement"
16,1,2,"HL","0",0,0,"Splitting of ceremony could remove Poly’s ‘black market’ ticket trade"
17,1,2,"BL","0",0,0,"By Laura Daniels"
18,1,2,"BL","0",0,0,"staff Writer"
19,1,2,"TXT","1",0,0,"Should the Commencement Committee bring an outside speaker to address the spring graduating class? Should the ceremony be split into two separate ones? The Commencement Committee wants to know what students think about spring commencement."
20,1,2,"TXT","2",0,0,"Meetings are now being held to decide things such as who the speakers will be and if there will be multiple ceremonies."
21,1,2,"TXT","3",0,0,"Kim Waltrip and Jamie Howard were elected by the Executive Committee of Associated Students, Inc. last quarter to voice student opinions on the graduation ceremony."
22,1,2,"TXT","4",0,0,"“We act as sort of go-betweens between the Commencement Committee and the student committees (of ASI),’’ said Howard."
23,1,2,"TXT","5",0,0,"Bob Bostrom, chair of the Commencement Committee, said there were two ceremonies in December so students could get more tickets."
24,1,2,"TXT","6",0,0,"“1 wanted to do away with the"
25,1,2,"TXT","6",0,0,"black market of graduation tickets,” said Bostrom. “Each student would get five graduation tickets. If you have two graduation ceremonies, you’ll get 10 tickets.”"
26,1,2,"TXT","7",0,0,"Last December’s commencement ceremonies had agriculture, engineering and science and math students graduating in the morning, while business, liberal arts, architecture and professional studies and education students graduated in the afternoon. President Warren Baker spoke at both ceremonies."
27,1,2,"TXT","8",0,0,"Waltrip said she gets her ideas from students and friends, including her friends on the executive and academic committees of ASI."
28,1,2,"TXT","9",0,0,"When Waltrip or Howard get suggestions, the ideas are presented to the executive committee and the commencement committee. If the ideas are agreed upon, they become part of the plans for spring commencement."
29,1,2,"TXT","10",0,0,"Ideas may be submitted to Commencement Committee members or left in the ASI box located in Room 217 of the University Union."
30,1,1,"TXT","5",0,0,"specific computer applications and devices teachers can use in a classroom setting."
31,1,1,"TXT","6",0,0,"Nulman thinks Cal Poly should do more."
32,1,1,"TXT","7",0,0,"“We meet the minimum goals the state provides,” he said. “You’d expect a polytechnic university to come out and meet more than the minimum goals.”"
33,1,1,"TXT","8",0,0,"Other members of the teacher education faculty, however, think Cal Poly provides enough instruction to teacher education students on educational technology."
34,1,1,"TXT","9",0,0,"“I would say the present (computer course) requirement is sufficient,” said Professor H."
35,1,1,"ME","0",6,0,"Sec COMPUTERS, page 6"
36,1,3,"HL","0",0,0,"Student comedy troupe launches plan to bring relief to county’s needy"
37,1,3,"BL","0",0,0,"By Kathy Kenney"
38,1,3,"BL","0",0,0,"Staff Writer"
39,1,3,"TXT","1",0,0,"A Student comedy troupe. Loose Change, plans to bring relief to the county’s needy and to have fun doing it."
40,1,3,"TXT","2",0,0,"A mixture of Cal Poly and Cuesta students Wednesday saw a demonstration of its new fundraising tool — a “pie in the face” booth during a press conference at D.K.’s West Indies Bar. The nine performers will travel next month to farmers markets throughout the county. Their goal is to promote their fundraising program called “The One-Percent Solution.”"
41,1,3,"TXT","3",0,0,"Michael Passarelli, creator"
42,1,3,"TXT","3",0,0,"and director of Loose Change, said if only I percent of the county’s population gave $5 a month, it’s estimated that 30,(XX) hungry could be fed. Monthly operating costs for the county food bank are S10,000, he said, most of which benefits senior citizens and children of the working poor."
43,1,3,"TXT","4",0,0,"When county residents sign up for the program at the booth, they can throw a pie at a guest target. Passarelli said comedians, policemen, politicians and even employees for the IRS will be among those waiting for a taste of the whipped cream."
44,1,3,"TXT","5",7,0,"Also for promotion, the See COMEDY, page 7"
45,1,0,"OT","0",0,0,"Finding black identity..."
46,1,0,"OT","0",0,0,"February is Black History Month, and guest Columnist David De Luz examines a culture that long has been denied to its people."
47,1,0,"OT","0",0,0,"No more ‘Party’ Royal?"
48,1,0,"OT","0",0,0,"The Poly Royal board is planning to divert our attention from drinking to educational activities."
49,1,0,"OT","0",0,0,"In SPORTS MONDAY..."
50,1,0,"OT","0",0,0,"The Cal Poly men’s basketball team ends its winning streak and drops games against CSU Dominguez Hills and Chapman College."
51,0,0,"NA","0",0,0,"'""fi!..............."
52,2,0,"PI","0",0,0,"Mustang Daily"
53,2,0,"MH","0",0,0,"Tara Giambalvo"
54,2,0,"MH","0",0,0,"Editor-ír-chief"
55,2,0,"MH","0",0,0,"Terry Lightfoot"
56,2,0,"MH","0",0,0,"Managing Editor, Content"
57,2,0,"MH","0",0,0,"Laura Fleischer"
58,2,0,"MH","0",0,0,"Opinion Editor"
59,2,0,"MH","0",0,0,"Christine Kohn"
60,2,0,"MH","0",0,0,"Insight Editor"
61,2,0,"MH","0",0,0,"Amber Wisdom"
62,2,0,"MH","0",0,0,"Photo Editor"
63,2,0,"MH","0",0,0,"P*ßgy Yeyna"
64,2,0,"MH","0",0,0,"Business Manager"
65,2,0,"MH","0",0,0,"Doug DiFranco"
66,2,0,"MH","0",0,0,"Managing Editor, Graphics A Design"
67,2,0,"MH","0",0,0,"Stewart McKenzie"
68,2,0,"MH","0",0,0,"A & E Editor"
69,2,0,"MH","0",0,0,"Rob Lorenz"
70,2,0,"MH","0",0,0,"Sports Editor"
71,2,0,"MH","0",0,0,"Steve McEntee"
72,2,0,"MH","0",0,0,"inustrator"
73,2,0,"MH","0",0,0,"Ed Hein"
74,2,0,"MH","0",0,0,"Adhiiter"
75,2,0,"MH","0",0,0,"Advsrtising Diraciors: John Alexiou, Michelle Hertig National Acct. Exaculiva: Kathy Conlan Production Managar: Darin Hershberger"
76,2,0,"MH","0",0,0,"Account Exacutivas: Sheryl Anderson, Mark Azevedo, Kim Carlson,"
77,2,0,"MH","0",0,0,"Hope Hennessy,Chris Hewitt, Stan Mernken, Laura Sjoberg, Mike Weiser, Janene Snedeker, Herod Lowery (Collections)"
78,2,0,"MH","0",0,0,"Claaaifiad Advertising: Kathy Conlan, Manager, Tracy Fowler, Dan Malone"
79,2,0,"MH","0",0,0,"Business Directory: Cathy Lung"
