"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP","0",0,0,"CALIFORNIA POLYTECHNIC"
2,1,0,"NP","0",0,0,"UNIVERSITY SAN LUIS OBISPO"
3,1,0,"NP","0",0,0,"Musiang Daiiy"
4,1,0,"PI","0",0,0,"VOLUME 56, No. 74 ★ Friday, February 21, 1992"
5,1,1,"HL","0",0,0,"ASI to test trial faculty evaluations this quarter"
6,1,1,"BL","0",0,0,"IJy Debbie Aberle"
7,1,1,"BL","0",0,0,"Staff Writer"
8,1,1,"TXT","1",0,0,"Cal Poly students will have the opportunity to participate in a trial faculty evaluation survey during the ninth week of winter quarter."
9,1,1,"TXT","2",0,0,"The survey will be distributed to students in two general education courses, said Geoff Austin, chairman of the Academic Commission."
10,1,1,"TXT","3",0,0,"The courses targeted for the preliminary evaluations are Philosophy 231 and Political Science 210, which each have approximately 26 class sections, Austin said."
11,1,1,"TXT","4",0,0,"“During the first few weeks of next quarter we will compile the surveys and put out our first course evaluation manual,” Austin said."
12,1,1,"TXT","5",0,0,"The professors and depart-"
13,1,1,"TXT","5",0,0,"ment heads involved with these courses have received a copy of the survey from the Academic Commission, said Kristen Burnett, ASI Academic Coordinator."
14,1,1,"TXT","6",0,0,"They have also received a letter requesting permission to distribute the surveys during class, Burnett said."
15,1,1,"TXT","7",0,0,"“The surveys will be much more consistent and will have more integrity if they are administered in the classroom,” Burnett said."
16,1,1,"TXT","8",0,0,"“We are doing this trial survey at the suggestion of (Academic Senate Chair) Charlie Andrews, Burnett said."
17,1,1,"TXT","9",0,0,"“If we get a great deal of participation and positive feedback from the faculty, we’ll be able to present a favorable report to the Senate.”"
18,1,1,"TXT","10",0,0,"If the initial trial is successful, a “full-blown” course evalua-"
19,1,1,"TXT","10",0,0,"tion will be administered spring quarter and the results will be available to students fall quarter, Austin said."
20,1,1,"TXT","11",0,0,"Members of the Board of Directors will be conducting interviews with various professors to give them an opportunity to voice their opinions on the evaluation, Burnett said."
21,1,1,"TXT","12",0,0,"The professors will fill out a nine-question inquiry that will give the Academic Commission an idea of the concerns faculty members might have with evaluations, Burnett said."
22,1,1,"TXT","13",0,0,"Professors have expressed concerns about the publication of subjective comments, such as comments on personal hygiene or personality conflicts, Burnett said."
23,1,1,"TXT","14",7,0,"“Subjective comments will not Sec EVALl ATIONS, page H"
24,1,2,"HL","0",0,0,"Students to rally against fee increase"
25,1,2,"BL","0",0,0,"By Alli.son Cìatlin"
26,1,2,"BL","0",0,0,"Staff Writer"
27,1,2,"TXT","1",0,0,"The next round of student action against the CSlTs proposed 40 percent fee increase will take place this weekend when the California State Student Association (CSSA) holds its 14th Annual Legislative Conference in Sacramento."
28,1,2,"TXT","2",0,0,"The conference will bring stu-"
29,1,2,"TXT","2",0,0,"dent representatives from every campus in the CSU system together for a weekend of seminars on the budget and lobbying tactics. It will culminate in a rally Monday afternoon on the steps of the Capitol."
30,1,2,"TXT","3",0,0,"Students will also spend Monday practicing what they have learned by meeting with and lobbying legislators."
31,1,2,"TXT","4",0,0,"Cal Poly’s student views will be voiced by representatives ASI administrative coordinator Laura Granato and ASI executive assistant Gabe Joynt."
32,1,2,"TXT","5",0,0,"Granato and Joynt will be participating in the budget and lobbying seminars and will meet with legislators Monday."
33,1,2,"ME","0",8,0,"Sec CSSA, page 8"
34,1,0,"PH","0",0,0,"Job hunt"
35,0,0,"B","0",0,0,
36,0,0,"B","0",0,0,
37,1,0,"PH","0",0,0,"7"
38,1,0,"PH","0",0,0,"I"
39,1,0,"PH","0",0,0,"im"
40,1,0,"PH","0",0,0,"STEVE PIERCE/Mustang Daily"
41,1,0,"PH","0",0,0,"Business senior Roger Chaddick, left, talks with Chevron representative Tom Neumayer at Thursday’s Cal Poly Career Symposium in Chumash Auditorium."
42,0,0,"B","0",0,0,
43,0,0,"NA","0",0,0,"NG"
44,1,3,"HL","0",0,0,"Huffington announces congressional candidacy"
45,1,3,"HL","0",0,0,"Businessman pledges ‘new national order’"
46,0,0,"NA","0",0,0,"/•"
47,1,3,"BL","0",0,0,"By Katherine Gill"
48,1,3,"BL","0",0,0,"Staff Writer"
49,0,0,"B","0",0,0,
50,0,0,"B","0",0,0,
51,0,0,"B","0",0,0,
52,1,3,"PH","0",0,0,"STEVE PIERCE/Mustang Dally"
53,1,3,"PH","0",0,0,"Santa Barbara businessman Michael Huffington announced his congressional candidacy Wednesday at the San Luis Obispo Courthouse."
54,1,3,"TXT","1",0,0,"Santa Barbara businessman Michael Huffington announced Wednesday that he is running for the new District 22 congressional seat, giving voters “a choice between status quo and change.” Huffington will be running against fellow Republican Rep. Robert Lagomarsino for the new seat, which covers Santa Barbara and San Luis Obispo counties."
55,1,3,"TXT","3",0,0,"After making his announcement on the San Luis Obispo Courthouse steps, Huffington, who has never run for office, said he wants to help bring about a “new national order.”"
56,1,3,"TXT","4",0,0,"Citing a system that he said was pushing people onto welfare and into crime, Huffington said the country is in a mess that only can be changed with a different group of people in Congress."
57,1,3,"TXT","5",0,0,"“We need people different from the ones who have sat in Congress decade after decade, until they have forgotten why they went there in the first place,”"
58,1,3,"TXT","5",0,0,"Huffington said."
59,1,3,"TXT","6",0,0,"Huffington, who said he supports term limits, called the present Congress a club, “and the armchairs of the club are deep and comfortable."
60,1,3,"TXT","7",0,0,"“The only way we’re going to get rules that are fair is to change the players,” Huffington added."
61,1,3,"TXT","8",0,0,"Huffington, who is considered a moderate Republican, called himself a “conservative with a conscience.”"
62,1,3,"TXT","9",0,0,"“I believe in lower taxes and fiscal responsibility,” he said. “I also believe in help for those who truly need it.” Huffington also said he is pro-choice on the question of abortion. Huffington said he and his wife are personally opposed to abortion, but “we also believe very strongly in every woman’s right to :h(X)se and in the freedom to keep life’s private decisions private.”"
63,1,3,"TXT","10",0,0,"James Lindholm, a Cal Poly political science graduate, said he found some of the things Huffington said interesting."
64,1,3,"TXT","11",0,0,"Lindholm is one of several political science students who was to take part"
65,1,3,"ME","0",7,0,"See HL’FFINtiTON, page 7"
66,1,0,"OT","0",0,0,"Speaker."
67,1,0,"OT","0",0,0,"The coordinator of the Center for Women and Ethnic Issues, Willi Coleman, will discuss the importance of ethnic and women's studies in a speech Monday."
68,1,0,"OT","0",0,0,"Page 3"
69,1,0,"OT","0",0,0,"Rain."
70,1,0,"OT","0",0,0,"Recent rainstorms were not enough to dampen the well-being of Cal Poly crops."
71,1,0,"OT","0",0,0,"Sports,"
72,1,0,"OT","0",0,0,"Page 3"
73,0,0,"B","0",0,0,
74,1,0,"OT","0",0,0,".V"
75,1,0,"OT","0",0,0,"Enthusiasm defined: Meet Cal Poly basketball player Meg Mitchell."
76,1,0,"OT","0",0,0,"Page 5"
77,2,0,"PI","0",0,0,"Friday, February 21, 1992"
78,2,0,"PI","0",0,0,"MUSTANG Daily"
79,2,0,"SH","0",0,0,"EWorld ^Nation estate"
80,2,4,"HL","0",0,0,"Official calls human rights report untrue"
81,2,4,"TXT","1",0,0,"BEIJING ijVP) — China Thursday called human rights reports on oppression in Tibet ""groundless,” and urged the United Nations to Ignore them."
82,2,4,"TXT","2",0,0,"The United Nations has compiled testimony from 12 private human rights groups to be presented to the U.N. Human Rights Commission, meeting in Geneva this week. The commission is discussing China’s human rights record in Tibet for the first time."
83,2,4,"TXT","3",0,0,"The report details a variety of abuses, including systematic torture and ill-treatment of detainees, many of whom are held without trial; close-range shootings of at least 60 pro-independence protestors since 1987; and forced atertions and sterilization of women."
84,2,4,"TXT","4",0,0,"But Foreign Ministry spokesman Wu Jianmin said, “The accusations made by some non-govemmental agencies like Amnesty International on the issue of Tibet are groundless.”"
85,2,5,"HL","0",0,0,"Hundreds of thousands flock south for jobs"
86,2,5,"TXT","1",0,0,"CANTON, China (AP> — They come by the hundreds of thousands from villages and towns hundreds of miles away and converge on the dirty railway station, holding fast to tattered cloth bags and big dreams."
87,2,5,"TXT","2",0,0,"They are China’s unemployed. More than 500,000 of them have come this year alone to search for work in this booming southern capital, tuTTiing streets into sewers and the railroad station into a tent city."
88,2,5,"TXT","3",0,0,"Tens of thousands more have descended on other cities."
89,2,5,"TXT","4",0,0,"'An eastern boomtown held a “crisis meeting” to cope with its 50,000 arrivals. Shanghai receives almost 2,000 people a day."
90,2,6,"HL","0",0,,"Panel: no evidence that is sentenced for implants cause disease threatening Wilson"
91,2,6,"TXT","1",0,0,"BETHESDA, Md. (AP) — There is no compelling scientific evidence that silicone gel breast implants can cause disease, even if the devices rupture, but more study is needed, experts said Thursday."
92,2,6,"TXT","2",0,0,"A Food and Drug Administration panel considering the safety of breast implants sought to reassure women with the devices. It said reports that leaking silicone from the implants cause a variety of immunological disorders are not conclusive."
93,2,6,"TXT","3",0,0,"“There have been many allegations, but no one has accepted them as statistically valid,” said Dr. Elizabeth Connell, an Emory University professor who is chairman of the FDA advisory panel."
94,2,6,"TXT","4",0,0,"“We don’t feel a clear cause-and-effect relationship has been established,” she said."
95,2,7,"HL","0",0,0,"Chrysler Corp. recalls 19,000 new vehicles"
96,2,7,"TXT","1",0,0,"DETROIT (AP) — Chrysler Corp. is recalling about 19,000 1992-model cars and minivans to replace a potentially defective steering assembly bolt."
