"Function Key: TXT = article text; HL = headline; BL = byline; PH = photo caption/information; ME = meta directives outside of an article; NA = unintelligible; NP = nameplate; PI = publication information; B = blank; AT = advertisement text; MH = masthead; BQT = block quote text; BQA = block quote attribution; CN = comic strip title; CT = comic strip text; SH = section heading",,,,,,,
"LINE","PAGE (0 if unintelligable)","ARTICLE NUMBER (use 0 if outside of text of any article/letter)","FUNCTION (see key above)","PARAGRAPH NUMBER (start with the first content paragraph, 0 if not part of the main text)","JUMP (if line contains a ""jump to"" directive, it's the page target. If it's a ""jumped from"" directive then the negative (-) of the soure page. otherwise 0)","AD #. If line is part of advertisement, it is the number of the ad. Start from top left column. 0 otherwise.","SCANNED TEXT"
1,1,0,"NP","0",0,0,"CALIFORNIA POLYTECHNIC STATE UNIVERSITY SAN LUIS OBISPO"
2,1,0,"PI","0",0,0,"Musiang Daily"
3,1,0,"PI","0",0,0,"_______________________MAY 3,1994	VOLUME LVIII, No. 114__________"
4,1,1,"HL","0",0,0,"Time to grow up at Children s Center as debt restructuring begins"
5,1,1,"BL","0",0,0,"By Shelly Korlson"
6,1,1,"BL","0",0,0,"Doily Staff Wiitei"
7,1,1,"TXT","1",0,0,"After less than a full year of operation, the ASI Children’s Center found itself last July more than $200,000 in debt. Since then, many have been left wondering just where it went wrong."
8,1,1,"TXT","2",0,0,"For those who have sorted through the finances, it’s clear: planners expected to have it all — full occupancy and the fees that come along with it. The Center also was dependent on high enrollment and a portion of the ASI fees each student pays."
9,1,1,"TXT","3",0,0,"But university enrollment has decreased and the Center has not filled with children."
10,1,1,"TXT","4",0,0,"Last month, the ASI Board of Directors approved refinancing of the Center’s $1.2 million loan, hoping to control damages from runaway"
11,,1,"TXT","4",0,0,"debts"
12,1,1,"TXT","5",0,0,"The move — which extends the repayment period over 20 instead of 10 years — will decrease annual interest payments by $70,000."
13,1,1,"TXT","6",0,0,"According to ASI Interim Executive Director Polly Harrigan, the refinancing is just the latest step in reorganizing the Center’s budget"
14,1,1,"SH","0",0,0,"News Analysis"
15,1,1,"TXT","6",0,0,"since its $200,000 deficit was reviewed in July 1993."
16,1,1,"TXT","7",0,0,"Both Harrigan and ASI Vice President for Finance Shawn Reeves said the Children’s Center forecasting was flawed in assuming too high a number of students would be on campus paying ASI fees and putting their children in the daycare facility."
17,1,1,"TXT","8",0,0,"Reeves said the basis of these problems, as well as others, was poor"
18,1,1,"TXT","8",0,0,"planning on ASI’s part."
19,1,1,"TXT","9",0,0,"“When we made the financial projections (for the new Center), enrollment was higher at the Center and the university,” Reeves said. “Once the operational realities kind of set in, we realized that the Center’s enrollment goals were too high and that we were not going to meet it now or in the future.”"
20,1,1,"TXT","10",0,0,"The goal of ASI was to maintain the Center’s occupancy rate at 100 percent throughout the school year. Yet in July 1993 it was clear that the Center could not achieve that goal."
21,1,1,"TXT","11",5,0,"“Last year our occupancy rate was fluctuating between 60 to 70 percent a quarter,” she said. “We now understand that our goal of 100 percent was unrealistic and are preparing a budget for next year that will allow See CHILDREN’S CENTER, page 5"
22,1,1,"PH","0",0,0,"A young client plays in front of ASI's funding-plagued Children's Center / Daily Photo"
23,1,2,"HL","0",0,0,"Suicide"
24,1,2,"HL","0",0,0,"doctor"
25,1,2,"HL","0",0,0,"acquitted"
26,1,2,"HL","0",0,0,"Court agrees Kevorkian was trying to help"
27,1,2,"BL","0",0,0,"By Julia Prodis"
28,1,2,"BL","0",0,0,"Associated Ptess_"
29,1,2,"TXT","1",0,0,"DETROIT — Dr. Jack Kevorkian was acquitted Monday of breaking Michigan’s assisted suicide law after a jury concluded he was only trying to help a gravely ill man end his suffering, not cause his death."
30,1,2,"TXT","2",0,0,"After the verdict, the 65-year-old retired pathologist challenged doctors who have secretly supported his cmsade to go public."
31,1,2,"TXT","3",0,0,"“I know there are doctors who want to come forward,” Kevorkian said. “I want this intimidation by medical politicians to stop.” Kevorkian also said he is still receiving letters from sick people who want his help, but refused to say whether he would resume his assisted suicide practice any time soon."
32,1,2,"TXT","4",5,0,"“I think this opens the floodgates for Jack Kevorkian,” said Lynn Mills of the anti-abortion group Operation Rescue. Kevorkian was charged See KEVORKIAN, page 5"
33,1,0,"PH","0",0,0,"K.C. and his kite"
34,0,0,"B","0",0,0,
35,0,0,"NA","0",0,0,"•Ki J \"
36,0,0,"B","0",0,0,
37,1,0,"PH","0",0,0,"Six-and-a-half-year-old K.C. Calvert (left) took advantage of Monda/s wind to fly his kite with some help from industrial technology freshman Mike Sasaki (right). The two were flyin the kite on Cal Pol/s soccer field / Daily photos by Scott Robinson"
38,1,3,"HL","0",0,0,"Mandela will lead S. Africa into new era"
39,1,3,"HL","0",0,0,"Thousands celebrate as he becomes its Democratically-elected president"
40,1,3,"BL","0",0,0,"By John Daniszewsld"
41,1,3,"BL","0",0,0,"^ssoc¡afed Piess"
42,1,4,"HL","0",0,0,"Ag, NRM attempting to bolster number of minority students"
43,1,3,"TXT","1",0,0,"JOHANNESBURG, South Africa — Nelson Mandela proclaimed victory Monday in his lifetime crusade: a non-racial democracy for South Africa."
44,1,3,"TXT","2",0,0,"As his supporters let loose in ecstatic celebration, the nation’s first black president declared, “Free at last!”"
45,1,3,"TXT","3",0,0,"“This is indeed a joyous night for the human spirit,” said the 75-year-old leader. “This is your victory too."
46,1,3,"TXT","4",0,0,"Supporters shrieked with joy in a hotel ballroom draped in the green-gold-and-black colors of Mandela’s African National Congress. The celebrations spilled over into the black districts of Soweto and Alexandra, where thousands of people poured into the streets dancing ecstatically, laughing and waving ANC flags."
